,program_id,project_id,major_id,program_name_th,program_type_name_th,major_name_th,project_name_th,min_score,max_score,min_score_ds,max_score_ds,est_min_score_mean,est_min_score_mean_sd,est_min_score_regression,receive_student_number,scores
4657,10270121903101A,A0001,0,หลักสูตรรัฐประศาสนศาสตรบัณฑิต สาขาวิชาการจัดการนวัตกรรมสาธารณะ,ภาษาไทย ปกติ,,Admission,49.2164,63.8828,42.9888,61.8216,42.3592,43.3506,42.3592,50.0,"{'gpax': 20, 'tgat': 80}"
4658,10270121903201A,A0001,0,หลักสูตรรัฐศาสตรบัณฑิต,ภาษาไทย ปกติ,,Admission,58.8052,70.3052,58.0388,70.3052,57.4092,58.4006,57.4092,30.0,"{'gpax': 20, 'tgat': 80}"
4659,10270121903601A,A0001,0,หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาพัฒนาสังคม,ภาษาไทย ปกติ,,Admission,14.9,61.15,0.0,61.15,0.0,0.0,0.0,50.0,"{'gpax': 20, 'tgat': 80}"
4660,10270122110501F,A0001,0,การจัดการศึกษาหลักสูตรควบระดับปริญญาตรี 2 ปริญญา (หลักสูตรการแพทย์แผนจีนบัณฑิต และหลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาภาษาจีน),Double Degree - ภาษาไทย ปกติ,,Admission,30.4081,56.9913,15.85,56.708,19.6134,20.5161,19.6134,60.0,"{'gpax': 20, 'tgat': 30, 'tpat3': 50}"
4661,10270122110801A,A0001,0,หลักสูตรการแพทย์แผนไทยประยุกต์บัณฑิต,ภาษาไทย ปกติ,,Admission,43.6768,56.1875,42.7554,56.1875,42.135,43.3412,42.135,30.0,"{'gpax': 10, 'tgat': 20, 'tpat1': 20, 'a_lv_61': 10, 'a_lv_64': 10, 'a_lv_65': 10, 'a_lv_66': 10, 'a_lv_82': 10}"
4662,10270122112501A,A0001,0,หลักสูตรสาธารณสุขศาสตรบัณฑิต สาขาวิชาการส่งเสริมสุขภาพ,ภาษาไทย ปกติ,,Admission,24.775,31.375,24.3375,31.375,27.1572,28.5444,26.5397,50.0,"{'a_lv_61': 25, 'a_lv_65': 25, 'a_lv_66': 25, 'a_lv_82': 25}"
4663,10270122112502F,A0001,0,การจัดการศึกษาหลักสูตรควบระดับปริญญาตรี 2 ปริญญา (หลักสูตรสาธารณสุขศาสตรบัณฑิต สาขาวิชาการส่งเสริมสุขภาพ และหลักสูตรเศรษฐศาสตรบัณฑิต),Double Degree - ภาษาไทย ปกติ,,Admission,17.8125,27.7625,17.8125,27.7625,20.6322,22.0194,19.1596,30.0,"{'a_lv_61': 25, 'a_lv_65': 25, 'a_lv_66': 25, 'a_lv_82': 25}"
4664,10270122112701A,A0001,0,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาอนามัยสิ่งแวดล้อม,ภาษาไทย ปกติ,,Admission,17.5875,28.2,17.5875,28.2,20.4072,21.7944,18.9051,60.0,"{'a_lv_61': 25, 'a_lv_65': 25, 'a_lv_66': 25, 'a_lv_82': 25}"
4665,10270122112702A,A0001,0,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาอาชีวอนามัยและความปลอดภัย,ภาษาไทย ปกติ,,Admission,26.8,32.3375,26.5875,32.3375,29.4817,30.881,29.3326,20.0,"{'a_lv_64': 25, 'a_lv_65': 25, 'a_lv_66': 25, 'a_lv_82': 25}"
4666,10270122112703A,A0001,0,หลักสูตรสาธารณสุขศาสตรบัณฑิต สาขาวิชาอนามัยชุมชน,ภาษาไทย ปกติ,,Admission,28.225,31.7125,28.125,31.7125,30.9447,32.3319,30.8236,20.0,"{'a_lv_61': 25, 'a_lv_65': 25, 'a_lv_66': 25, 'a_lv_82': 25}"
4667,10270122112704F,A0001,0,การจัดการศึกษาหลักสูตรควบระดับปริญญาตรี 2 ปริญญา (หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาอนามัยสิ่งแวดล้อม และหลักสูตรนิติศาสตรบัณฑิต),Double Degree - ภาษาไทย ปกติ,,Admission,18.1125,32.575,18.1125,32.575,20.9322,22.3194,19.4989,30.0,"{'a_lv_61': 25, 'a_lv_65': 25, 'a_lv_66': 25, 'a_lv_82': 25}"
4668,10270122112705F,A0001,0,การจัดการศึกษาหลักสูตรควบระดับปริญญาตรี 2 ปริญญา (หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาอนามัยสิ่งแวดล้อม และหลักสูตรเศรษฐศาสตรบัณฑิต),Double Degree - ภาษาไทย ปกติ,,Admission,18.475,23.8,18.475,23.8,21.2947,22.6819,19.9089,30.0,"{'a_lv_61': 25, 'a_lv_65': 25, 'a_lv_66': 25, 'a_lv_82': 25}"
